Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
10,3,14.0,60,8,256,53,4,1.7,10183000.0,0,1,0,0,0,0,1,1,1920,1080
2,3,14.0,83,8,256,61,5,1.4,15997000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,74,8,256,53,5,1.86,11730000.0,0,1,0,0,0,0,0,1,1920,1080
2,4,15.6,102,16,512,76,5,1.8,33711000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,56,4,500,6,5,1.86,7457730.0,1,0,0,0,0,0,0,0,1366,768
7,3,14.0,36,4,32,41,5,1.44,3893000.0,0,1,0,0,0,0,0,0,1366,768
10,3,15.6,74,4,1000,53,5,1.9,9333000.0,1,0,0,0,0,0,0,1,1920,1080
2,1,17.3,102,12,1000,76,2,3.0,16133000.0,1,0,0,0,0,0,0,1,1920,1080
13,4,13.5,74,4,128,53,6,1.252,18513000.0,0,1,0,0,0,1,0,0,2256,1504
4,4,13.3,106,8,256,7,5,1.4,16235000.0,0,1,0,0,0,0,1,1,1920,1080
4,3,15.6,106,8,256,7,5,2.2,14790000.0,0,1,0,0,0,0,0,1,1920,1080
11,1,17.3,77,8,128,75,5,2.7,18615000.0,1,1,0,0,1000,0,0,1,1920,1080
0,3,14.0,56,8,1000,47,5,2.1,6613000.0,1,0,0,0,0,0,0,0,1366,768
2,1,15.6,102,8,1000,75,5,2.2,16133000.0,1,0,0,0,0,0,0,1,1920,1080
10,3,15.6,74,8,2000,53,4,2.2,8823000.0,1,0,0,0,0,0,0,1,1920,1080
4,3,15.6,106,8,128,61,5,2.02,14535000.0,1,1,0,0,1000,0,0,1,1920,1080
0,3,15.6,60,4,1000,97,5,2.2,9010000.0,1,0,0,0,0,0,0,1,1920,1080
7,3,17.3,83,8,128,69,5,2.5,16609000.0,1,1,0,0,1000,0,0,1,1920,1080
4,4,15.6,83,8,256,61,5,1.88,18634720.0,0,1,0,0,0,0,1,1,1920,1080
1,4,12.0,61,8,512,52,8,0.92,25670000.0,0,1,0,0,0,0,1,0,2304,1440
7,3,14.0,83,8,256,53,5,1.63,14620000.0,0,1,0,0,0,0,0,1,1920,1080
10,3,15.6,8,4,128,5,5,2.2,6783000.0,0,1,0,0,0,0,0,1,1920,1080
0,3,15.6,14,4,1000,17,5,2.1,6715000.0,1,0,0,0,0,0,0,0,1366,768
4,1,15.6,102,16,128,76,5,2.65,22933000.0,1,1,0,0,1000,0,1,1,1920,1080
7,4,15.6,106,8,256,85,5,1.83,11883000.0,0,1,0,0,0,0,1,1,1920,1080
7,3,15.6,74,8,256,53,5,1.96,10182830.0,0,1,0,0,0,0,0,1,1920,1080
2,1,15.6,102,16,128,79,5,2.2,24633000.0,1,1,0,0,1000,0,1,1,1920,1080
4,4,13.3,106,8,256,61,5,1.21,28033000.0,0,1,0,0,0,0,1,1,1920,1080
2,1,15.6,24,8,1000,36,5,2.45,11883000.0,1,0,0,0,0,0,0,1,1920,1080
0,3,15.6,106,8,1000,98,5,2.2,11713000.0,1,0,0,0,0,0,0,1,1920,1080
7,3,13.3,106,16,512,61,5,1.49,20349000.0,0,1,0,0,0,0,0,1,1920,1080
4,1,15.6,77,8,256,79,5,2.65,20315000.0,0,1,0,0,0,0,0,1,1920,1080
2,4,14.0,97,8,256,53,5,1.25,17833000.0,0,1,0,0,0,0,0,1,1920,1080
0,0,13.3,83,8,256,61,5,1.5,14399000.0,0,1,0,0,0,1,1,1,1920,1080
4,3,15.6,97,8,1000,24,2,2.2,10198300.0,1,0,0,0,0,0,0,1,1920,1080
4,3,15.6,56,4,256,24,2,2.2,8245000.0,0,1,0,0,0,0,0,1,1920,1080
2,3,15.6,59,6,256,65,5,2.0,9809000.0,0,1,0,0,0,0,0,1,1920,1080
7,1,15.6,102,12,128,75,5,2.62,21233000.0,1,1,0,0,1000,0,1,1,1920,1080
7,3,15.6,97,8,256,7,5,1.91,12223000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,22,4,500,12,5,2.1,5933000.0,1,0,0,0,0,0,0,1,1920,1080
4,3,15.6,83,8,1000,6,2,2.2,10999000.0,1,0,0,0,0,0,0,1,1920,1080
7,4,13.3,97,8,256,98,5,1.38,19023000.0,0,1,0,0,0,0,1,1,1920,1080
13,4,13.5,74,8,256,53,6,1.252,22780000.0,0,1,0,0,0,1,0,0,2256,1504
7,3,14.0,74,6,256,72,5,1.58,11203000.0,0,1,0,0,0,0,1,1,1920,1080
10,3,15.6,56,4,1000,47,5,1.85,7053300.0,1,0,0,0,0,0,0,1,1920,1080
